"","sequence_ID","sample_ID","sequencing_ID","sample_type","organism_water","number","time_point","date","lake","elevation_m","temp_C","chla_ug.L","pH","DO_perc","spc","cond","DOC","TDN","TDP","phy_group","elev.cat","read.sum"
"119","218_16S","81_Z","MP_140_16S","Zooplankton","Daphnia",30,"3","2022-07-22","Convict",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"cladocera","Below",10630
"120","219_16S","34_Z","MP_141_16S","Zooplankton","Daphnia",30,"2","2022-07-09","Virginia",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"cladocera","Above",6692
"121","220_16S","6_Z22","MP_143_16S","Zooplankton","Daphnia",20,"1","2022-06-25","Convict",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"cladocera","Below",1063
"122","221_16S","107_Z","MP_144_16S","Zooplankton","Calanoid",50,"3","2022-07-22","Eastern Brook",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"copepoda","Above",21636
"123","222_16S","82_Z","MP_145_16S","Zooplankton","Daphnia",30,"3","2022-07-22","Convict",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"cladocera","Below",5222
"124","223_16S","23_Z","MP_146_16S","Zooplankton","Cyclopoid",50,"2","2022-07-09","Blue",3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54,"copepoda","Above",1611
"125","224_16S","58_Z","MP_147_16S","Zooplankton","Daphnia",30,"3","2022-07-21","Blue",3005,17,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19,"cladocera","Above",1376
"126","225_16S","11_Z","MP_148_16S","Zooplankton","Daphnia",30,"2","2022-07-06","Serene",3124,16.8,1.39,8.65,70,17.8,15,3,697.03,4102.48,"cladocera","Above",21337
"127","226_16S","127_Z","MP_149_16S","Zooplankton","Ceriodaphnia",50,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"cladocera","Above",2908
"128","227_16S","46_Z","MP_150_16S","Zooplankton","Cyclopoid",17,"2","2022-07-09","Cooney",3116,14.3,0.3,6.94,77.5,109.6,87.1,1,74.73,9.29,"copepoda","Above",60341
"129","228_16S","19_Z","MP_151_16S","Zooplankton","Daphnia",30,"2","2022-07-09","Blue",3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54,"cladocera","Above",1980
"130","229_16S","126_Z","MP_152_16S","Zooplankton","Ceriodaphnia",50,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"cladocera","Above",394
"131","23_16S","11_Z22","MP_153_16S","Zooplankton","Daphnia",30,"1","2022-06-26","Eastern Brook",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"cladocera","Above",4000
